ID;Name;Email;Phone;Store_ID
1;Bob Smith;bob@email.com;+33 6 98 76 54 32;2
2;Claire White;claire@email.com;+33 6 45 67 89 10;3
3;David Martin;david@email.com;+33 6 23 45 67 89;4
4;Emma Davis;emma@email.com;+33 6 78 90 12 34;5
5;Frank Miller;frank@email.com;+33 6 34 56 78 90;1
6;Grace Wilson;grace@email.com;+33 6 56 78 90 12;2
7;Henry Lee;henry@email.com;+33 6 78 90 12 34;3
8;Isabella Brown;isabella@email.com;+33 6 12 34 56 78;4
9;Jack Robinson;jack@email.com;+33 6 98 76 54 32;5
10;Alice Johnson;alice@email.com;+33 6 12 34 56 78;1
